Band Index,lmin,lpeak,lmax,nside
1         ,0   ,0    ,50  ,32
2         ,0   ,50   ,100 ,64
3         ,50  ,100  ,150 ,128
4         ,100 ,150  ,200 ,128
5         ,150 ,200  ,250 ,256
6         ,200 ,250  ,380 ,256
7         ,250 ,380  ,400 ,256
8         ,380 ,400  ,500 ,256
9         ,400 ,500  ,780 ,512
