Band Index,lmin,lpeak,lmax,nside
1         ,0   ,0    ,50  ,32
2         ,0   ,50   ,100 ,64
3         ,50  ,100  ,150 ,128
4         ,100 ,150  ,250 ,128
5         ,150 ,250  ,400 ,256
6         ,250 ,400  ,500 ,256
7         ,400 ,500  ,700 ,400
8         ,500 ,700  ,1100 ,600
9         ,700 ,1100  ,1300 ,700
10         ,1100 ,1300  ,1500 ,800
11         ,1300 ,1500  ,1800 ,1024
12         ,1500 ,1800  ,2100 ,1100
13         ,1800 ,2100  ,2600 ,1400
14         ,2100 ,2600  ,3000 ,1600
15         ,2600 ,3000  ,3800 ,2048
16         ,3000 ,3800  ,5200 ,2700
17         ,3800 ,5200  ,6000 ,3100
18         ,5200 ,6000  ,7000 ,3600
